Annotation_Accession,host,isolation_source,Manual_Annotation
GCF_002012025.1_ASM201202v1,Homo sapiens,NA,Humans
GCF_001521855.1_ASM152185v1,NA,NA,NA
GCF_001188695.1_ASM118869v1,NA,NA,NA
GCF_000724665.3_ASM72466v3,Homo sapiens,Blood,Humans
GCF_001652565.1_ASM165256v1,NA,NA,NA
GCF_003354885.1_ASM335488v1,Homo sapiens,nares,Humans
GCF_008245185.1_ASM824518v1,Homo sapiens,sputum,Humans
GCF_011604825.1_ASM1160482v1,NA,NA,NA
GCF_003181075.1_ASM318107v1,Homo sapiens,feces,Humans
GCF_002109345.1_ASM210934v1,Homo sapiens,NA,Humans
GCF_008728175.1_ASM872817v1,Lettuce,lettuce production field,Agriculture
GCF_004353445.1_ASM435344v1,Homo sapiens,patient's blood plasma,Humans
GCF_003325375.1_ASM332537v1,NA,environment,NA
GCF_009739845.1_ASM973984v1,Homo sapiens,blood,Humans
GCF_010183725.1_ASM1018372v1,Homo sapiens,intra-abdominal fluid,Humans
GCF_000021225.1_ASM2122v1,NA,NA,NA
GCF_002903405.1_ASM290340v1,NA,NA,NA
GCF_012974845.1_ASM1297484v1,Canis lupus familiaris,urine,Livestock
GCF_003325095.1_ASM332509v1,NA,NA,NA
GCF_000164885.1_ASM16488v1,NA,NA,NA
GCF_001664445.1_ASM166444v1,Phaseolus vulgaris,legume-root nodule,Agriculture
GCF_000604105.1_ASM60410v1,NA,NA,NA
GCF_003226695.1_ASM322669v1,Cryptocercus punctulatus,NA,Animals
GCF_003966735.1_ASM396673v1,NA,marine sediment,Sediment
GCF_000737305.2_ASM73730v2,NA,NA,NA
GCF_013375035.1_ASM1337503v1,Campeiostachys tsukushiensis,rhizospheric soil,Soil
GCF_003718195.1_ASM371819v1,NA,NA,NA
GCF_009912055.1_ASM991205v1,Homo sapiens,NA,Humans
GCF_012051245.1_ASM1205124v1,Homo sapiens,Diarrheal patient,Humans
GCF_013349045.1_ASM1334904v1,Homo sapiens,sputum,Humans
GCF_008619235.1_ASM861923v1,Homo sapiens,Sputum isolated from host,Humans
GCF_002761235.1_ASM276123v1,Bos taurus coreanae (Korean native cattle),rumen fluid,Livestock
GCF_000016325.1_ASM1632v1,NA,NA,NA
GCF_001641135.1_ASM164113v1,Avena sativa,seed,Agriculture
GCF_001644575.1_ASM164457v1,NA,soil,Soil
GCF_003945525.1_ASM394552v1,NA,soil,Soil
GCF_001692555.1_ASM169255v1,NA,food,Food
GCF_003574235.1_ASM357423v1,Homo sapiens,NA,Humans
GCF_009432635.1_ASM943263v1,NA,Ground beef,Food
GCF_003402955.1_ASM340295v1,pig,feces,Livestock
GCF_000023985.1_ASM2398v1,NA,NA,NA
GCF_009257425.1_NL-IR-2,Ixodes ricinus,eggs of a tick infected in nature,Animals
GCF_001469535.1_ASM146953v1,Sus,lung,Livestock
GCF_001865535.1_ASM186553v1,NA,pork,Food
GCF_010669125.1_ASM1066912v1,NA,NA,NA
GCF_003194345.1_ASM319434v1,Homo sapiens,NA,Humans
GCF_012272655.1_ASM1227265v1,Homo sapiens,clinical isolate,Humans
GCF_002504125.1_ASM250412v1,NA,river water,Freshwater
GCF_004792515.1_ASM479251v1,NA,NA,NA
GCF_003815775.1_ASM381577v1,NA,NA,NA
GCF_003515505.1_ASM351550v1,Solanum tuberosum,Potato bacterial wilt,Agriculture
GCF_013401515.1_ASM1340151v1,NA,sediment in salt lake,Sediment
GCF_001705915.1_ASM170591v1,NA,Tilapia,Animals
GCF_001623765.2_ASM162376v2,Bovine,ground beef,Food
GCF_002891925.1_ASM289192v1,NA,fish larvae aquaculture,Human-impacted
GCF_008931385.1_ASM893138v1,NA,Shower 2,Human-impacted
GCF_001647715.1_ASM164771v1,NA,ENVO:00002011,Freshwater
GCF_000769655.1_ASM76965v1,NA,oil-immersed sample,Human-impacted
GCF_007990365.1_ASM799036v1,Homo sapiens,blood,Humans
GCF_000191925.1_ASM19192v1,NA,NA,NA
GCF_002741825.1_ASM274182v1,Homo sapiens,patient's blood plasma,Humans
GCF_003206535.1_ASM320653v1,Homo sapiens,tracheal secretions,Humans
GCF_003595505.1_ASM359550v1,Homo sapiens,Nose,Humans
GCF_008033195.1_ASM803319v1,NA,kimchi,Food
GCF_013267475.1_ASM1326747v1,NA,NA,NA
GCF_002954205.1_ASM295420v1,Olea europaea,olive twig showing symptoms of olive quick decline syndrome,Agriculture
GCF_001952715.2_ASM195271v2,chicken,NA,Livestock
GCF_004332535.2_ASM433253v2,Homo sapiens,Clinical sample: throat,Humans
GCF_002173735.1_ASM217373v1,NA,food,Food
GCF_002837985.2_ASM283798v2,Homo sapiens,sputum,Humans
GCF_002968415.1_ASM296841v1,NA,bamboo forest soil,Soil
GCF_006494895.1_ASM649489v1,Homo sapiens,stool,Humans
GCF_001013905.1_sleC34,NA,Salar de Atacama; Atacama Desert,Terrestrial
GCF_003099975.1_ASM309997v1,Schizaphis graminum biotype I,adult insect on Panicum virgatum,Animals
GCF_003516165.1_ASM351616v1,NA,marine,Marine
GCF_000310245.1_ASM31024v1,NA,subsurface sediment from a freshwater well,Sediment
GCF_003043935.1_ASM304393v1,Homo sapiens,attached gingivae,Humans
GCF_001908855.1_ASM190885v1,Solanum lycopersicum,tomato field,Agriculture
GCF_004345065.1_ASM434506v1,NA,NA,NA
GCF_000789395.1_ASM78939v1,Homo sapiens,Stool (adult),Humans
GCF_004792415.1_ASM479241v1,eucalyptus,NA,Plants
GCF_001549745.1_XFAS002-SEQ-2-ASM-1,Citrus sinensis,leaf,Agriculture
GCF_003408575.1_ASM340857v1,Homo sapiens,Rectal swab,Humans
GCF_001577365.1_ASM157736v1,Himantormia,NA,Animals
GCF_009769205.1_ASM976920v1,Gallus gallus,NA,Livestock
GCF_009834565.1_ASM983456v1,Solanum tuberosum,rhizosphere soil,Soil
GCF_005222625.1_ASM522262v1,Homo sapiens,blood,Humans
GCF_000237265.1_ASM23726v1,NA,NA,NA
GCF_000242455.3_ASM24245v3,NA,sphagnum peat from the bog Obukhovskoe (acidic wetland),Soil
GCF_001932795.1_ASM193279v1,Salmo salar,Liver,Animals
GCF_003586065.1_EcRM9872,Bos taurus,feces,Livestock
GCF_000009785.1_ASM978v1,NA,isolated from the deepest Ocean,Marine
GCF_001499615.1_Acetobacter_senegalensis_108B,NA,NA,NA
GCF_002441955.1_ASM244195v1,NA,muddy water,Sediment
GCF_002952295.1_ASM295229v1,Grapefruit,NA,Agriculture
GCF_000522985.1_ASM52298v1,NA,NA,NA
GCF_001280205.1_ASM128020v1,pepper,plant stem,Agriculture
GCF_000746665.1_ASM74666v1,Oreochromis,Tilapia; diseased,Animals
GCF_002786755.1_ASM278675v1,Homo sapiens,Bronchial washing,Humans
GCF_000412165.1_PSSSMv1.0,Triticum aestivum,leaf,Agriculture
GCF_001969325.1_ASM196932v1,cage-cultured red drum,skin ulcer,Animals
GCF_001936315.1_ASM193631v1,Homo sapiens,feces,Humans
GCF_002186515.2_ASM218651v2,Homo sapiens,blood,Humans
GCF_000613085.1_R479A_18022011,NA,NA,NA
GCF_004328865.1_ASM432886v1,red alga,sea water,Marine
GCF_000770355.2_ASM77035v2,Areca catechu,NA,Agriculture
GCF_900497485.1_ASM90049748v1,NA,NA,NA
GCF_012923785.1_ASM1292378v1,date palm,rhizosphere,Soil
GCF_009933525.1_ASM993352v1,Gallus gallus,NA,Livestock
GCF_002903025.1_ASM290302v1,NA,NA,NA
GCF_002759135.1_ASM275913v1,Phaseolus vulgaris,NA,Agriculture
GCF_000284635.1_ASM28463v1,NA,NA,NA
GCF_013426715.1_ASM1342671v1,Vitis vinifera,sterilized root of grapevine nursary stock,Agriculture
GCF_001449005.1_ASM144900v1,NA,soil,Soil
GCF_009937975.1_ASM993797v1,NA,water,Freshwater
GCF_001753405.1_ASM175340v1,NA,environmental,NA
GCF_009664045.1_ASM966404v1,Homo sapiens,stool,Humans
GCF_900092355.1_P_veronii_1YdBTEX21,NA,NA,NA
GCF_000014845.1_ASM1484v1,NA,lesion site (lung) of a dead turkey with colibacillosis,Livestock
GCF_000014665.1_ASM1466v1,NA,NA,NA
GCF_002162035.1_ASM216203v1,NA,Weathered rock sample,Terrestrial
GCF_000737515.1_ASM73751v1,NA,silkworm feces,Animals
GCF_003860625.1_ASM386062v1,NA,Antarctic sea ice,Marine
GCF_007990545.2_ASM799054v2,NA,Saliva of a healthy person,Humans
GCF_001580515.1_ASM158051v1,Homo sapiens,USA: Dallas Texas,Humans
GCF_002753165.1_ASM275316v1,NA,NA,NA
GCF_000023185.1_ASM2318v1,NA,NA,NA
GCF_002386185.1_ASM238618v1,Homo sapiens,Urine catheter,Humans
GCF_000236645.1_ASM23664v1,coral,black band-diseased coral,Animals
GCF_002356515.1_MlotiTONO_1.0,NA,NA,NA
GCF_005144425.1_ASM514442v1,NA,NA,NA
GCF_002176835.1_ASM217683v1,Meleagris gallopavo,ileum,Animals
GCF_003032075.1_ASM303207v1,NA,NA,NA
GCF_002943995.1_ASM294399v1,Homo sapiens,Sputum,Humans
GCF_000174395.2_ASM17439v2,Homo sapiens,biological product [ENVO:02000043],Humans
GCF_008728455.1_ASM872845v1,Homo sapiens,Rectum,Humans
GCF_009912855.1_ASM991285v1,Homo sapiens,NA,Humans
GCF_003971565.1_ASM397156v1,Homo sapiens,Korean vaginal fluid,Humans
GCF_002078855.1_ASM207885v1,NA,Dairy fermentation,Food
GCF_009834205.1_ASM983420v1,Androsace koso-poljanskii,plant,Plants
GCF_002993865.1_ASM299386v1,NA,NA,NA
GCF_000330885.1_ASM33088v1,NA,Phaseolus vulgaris root nodule,Agriculture
GCF_900634595.1_Thiomonas_sp_OC7,NA,NA,NA
GCF_007954785.1_ASM795478v1,NA,kimchi,Food
GCF_001514395.1_ASM151439v1,Oncorhynchus mykiss,kidney,Animals
GCF_008931365.1_ASM893136v1,NA,Room 7,Human-impacted
GCF_000767465.1_ASM76746v1,NA,Mud sediment,Sediment
GCF_002151465.1_ASM215146v1,Homo sapiens,human,Humans
GCF_002078495.1_ASM207849v1,NA,Dairy fermentation,Food
GCF_001753465.1_ASM175346v1,NA,Cattle Hide,Livestock
GCF_001077815.2_ASM107781v2,NA,deep sea sediment,Sediment
GCF_000017705.1_ASM1770v1,NA,NA,NA
GCF_900322425.1_MFPA29A1405_assemby_v1,NA,Beef carpaccio,Food
GCF_000311765.1_ASM31176v1,NA,NA,NA
GCF_000695235.1_ASM69523v1,NA,environment,NA
GCF_000307585.2_ASM30758v2,NA,NA,NA
GCF_009709275.1_ASM970927v1,Oncorhynchus mykiss,NA,Animals
GCF_000785555.1_ASM78555v1,NA,Soil (sea shore),Soil
GCF_013349205.1_ASM1334920v1,Homo sapiens,clinical isolate,Humans
GCF_005577315.1_ASM557731v1,NA,ocean sediment,Sediment
GCF_000015045.1_ASM1504v1,NA,NA,NA
GCF_001890225.1_ASM189022v1,Homo sapiens,NA,Humans
GCF_013085885.1_ASM1308588v1,Homo sapiens,rectal swab,Humans
GCF_000723425.2_E11,NA,NA,NA
GCF_001022035.1_ASM102203v1,Homo sapiens,Sputum,Humans
GCF_002870925.1_ASM287092v1,Homo sapiens,sputum,Humans
GCF_002443015.2_ASM244301v2,NA,air,Terrestrial
GCF_000259345.1_ASM25934v1,Ornithodoros sonrai,NA,Animals
GCF_003019945.1_ASM301994v1,Environment,Oryza sativa; rhizosphere soil,Soil
GCF_001922245.1_ASM192224v1,Homo sapiens,TA,Humans
GCF_002192375.1_ASM219237v1,NA,NA,NA
GCF_001579665.1_ASM157966v1,Gorilla,oral cavity,Animals
GCF_002891945.1_ASM289194v1,NA,clam larvae aquaculture,Human-impacted
GCF_001956275.1_ASM195627v1,NA,Mexican lime leaf,Agriculture
GCF_000145945.2_ASM14594v2,NA,NA,NA
GCF_002000645.1_ASM200064v1,Homo sapiens,Pus left axilla,Humans
GCF_009756515.1_ASM975651v1,Homo sapiens,stool,Humans
GCF_003119195.2_ASM311919v2,NA,wheat root,Agriculture
GCF_011691375.1_ASM1169137v1,NA,root of Codonopsis pilosula,Plants
GCF_002796525.1_ASM279652v1,NA,NA,NA
GCF_009709515.1_ASM970951v1,Salmo salar,NA,Animals
GCF_000196255.1_ASM19625v1,NA,NA,NA
GCF_009912255.1_ASM991225v1,Homo sapiens,NA,Humans
GCF_001674475.2_ASM167447v2,Homo sapiens,NA,Humans
GCF_001518775.1_ASM151877v1,fish,NA,Animals
GCF_001277255.1_ASM127725v1,NA,spiced meat,Food
GCF_002072655.1_ASM207265v1,NA,NA,NA
GCF_003718455.1_ASM371845v1,NA,NA,NA
GCF_003956025.1_ASM395602v1,Homo sapiens,NA,Humans
GCF_900698925.1_ErCicurvipes_v1.0,Cinara curvipes,host's whole body,Animals
GCF_001274875.1_ASM127487v1,Zea mays L.,NA,Agriculture
GCF_013267355.1_ASM1326735v1,NA,NA,NA
GCF_001620305.1_ASM162030v1,Chrysanthemum x morifolium,NA,Plants
GCF_003717215.1_ASM371721v1,NA,NA,NA
GCF_000832985.1_ASM83298v1,NA,environmental sample,Terrestrial
GCF_002139855.1_ASM213985v1,NA,Wild pig; fecal,Animals
GCF_008370855.1_ASM837085v1,NA,activated sludge,Human-impacted
GCF_001989495.1_ASM198949v1,NA,river water,Freshwater
GCF_001874505.1_ASM187450v1,Homo sapiens,Perirectal,Humans
GCF_003812745.1_ASM381274v1,Homo sapiens,Endotracheal aspirate,Humans
GCF_003112375.1_ASM311237v1,NA,honey,Food
GCF_001595725.1_ASM159572v1,NA,soil,Soil
GCF_013306295.1_ASM1330629v1,tomato,NA,Agriculture
GCF_002163715.1_ASM216371v1,Hydra vulgaris AEP,NA,Animals
GCF_009708235.1_ASM970823v1,Oncorhynchus kisutch,NA,Animals
GCF_001579905.1_ASM157990v1,NA,seawater,Marine
GCF_013177495.1_ASM1317749v1,NA,soil,Soil
GCF_013267135.1_ASM1326713v1,Homo sapiens,clinical isolate,Humans
GCF_002753405.1_ASM275340v1,NA,NA,NA
GCF_000835025.1_ASM83502v1,NA,Sewage,Human-impacted
GCF_001280325.1_ASM128032v1,Homo sapiens,patient blood,Humans
GCF_005239285.1_ASM523928v1,Homo sapiens,bronchoalveolar lavage,Humans
GCF_008935055.1_ASM893505v1,Bovine,rumen,Livestock
GCF_002949635.1_ASM294963v1,Homo sapiens,laboratory,Humans
GCF_004332555.2_ASM433255v2,Homo sapiens,Clinical sample: throat,Humans
GCF_003030425.1_ASM303042v1,Homo sapiens,Eye,Humans
GCF_002285535.1_ASM228553v1,Sus scrofa domesticus,Nasal cavity,Livestock
GCF_005796225.1_ASM579622v1,NA,Soil from the Namib Desert,Soil
GCF_009806655.1_ASM980665v1,NA,NA,NA
GCF_001940525.2_ASM194052v2,NA,Surface seawater,Marine
GCF_000349325.1_ASM34932v1,NA,NA,NA
GCF_000175395.3_ASM17539v3,NA,ham,Food
GCF_013376855.2_ASM1337685v2,Homo sapiens,human clinical sample,Humans
GCF_001558295.2_ASM155829v2,Homo sapiens,Stool,Humans
GCF_000195995.1_ASM19599v1,NA,NA,NA
GCF_002635135.1_ASM263513v1,Homo sapiens,Rectal,Humans
GCF_000418575.1_CRM0020_v1.0,Homo sapiens,skin,Humans
GCF_001572745.1_ASM157274v1,Goat,Aborted placenta,Livestock
GCF_005886715.1_ASM588671v1,Homo sapiens,NA,Humans
GCF_003194535.1_ASM319453v1,Homo sapiens,wound,Humans
GCF_009739485.1_ASM973948v1,NA,NA,NA
GCF_000009065.1_ASM906v1,NA,NA,NA
GCF_005886735.1_ASM588673v1,Homo sapiens,NA,Humans
GCF_002222575.1_ASM222257v1,Homo sapiens,gastric mucasa,Humans
GCF_000017325.1_ASM1732v1,NA,NA,NA
GCF_000783455.2_ASM78345v2,Homo sapiens,endotracheal aspirate,Humans
GCF_002368275.1_ASM236827v1,NA,NA,NA
GCF_004684305.1_ASM468430v1,NA,diarrheal snake diarrheal snake in Hunan,Animals
GCF_002078315.1_ASM207831v1,Amblyomma neumanni,NA,Animals
GCF_012562965.1_ASM1256296v1,Plateumaris rustica,Beetle Malpighian tubules,Animals
GCF_008926305.1_ASM892630v1,NA,Bobby veal steak,Food
GCF_009432415.1_ASM943241v1,NA,cattle,Livestock
GCF_000783735.2_ASM78373v2,Homo sapiens,stool,Humans
GCF_009914095.1_ASM991409v1,NA,Water kimchi,Food
GCF_001454985.1_ASM145498v1,NA,petroleum-contaminated soil,Human-impacted
GCF_000698825.1_ASM69882v1,NA,NA,NA
GCF_004124175.2_ASM412417v2,NA,food,Food
GCF_012273455.1_ASM1227345v1,Homo sapiens,clinical isolate,Humans
GCF_003546665.1_ASM354666v1,Oryctes gigas,NA,Animals
GCF_001717975.3_ASM171797v3,Homo sapiens,purulent absess from military trainee,Humans
GCF_000318035.1_ASM31803v1,NA,NA,NA
GCF_008694005.1_ASM869400v1,Homo sapiens,clinical isolate,Humans
GCF_003112145.1_ASM311214v1,NA,creek sediment,Sediment
GCF_009664775.1_ASM966477v1,Homo sapiens,NA,Humans
GCF_003006055.1_ASM300605v1,sheep,brain tissue,Livestock
GCF_902703415.1_Combinated_assembly_ONT_-_Illumina,Gallus gallus,laying hen withcolibacillosis,Livestock
GCF_013122195.1_ASM1312219v1,NA,goose faeces,Livestock
GCF_006364675.1_ASM636467v1,NIST Mixed Microbial RM strain,ATCC Isolate,Humans
GCF_013364135.1_ASM1336413v1,NA,ATCC Isolate,NA
GCF_008693645.1_ASM869364v1,Homo sapiens,clinical isolate,Humans
GCF_002763655.1_ASM276365v1,Actinidia chinensis,NA,Agriculture
GCF_002288525.1_ASM228852v1,G.max,NA,Agriculture
GCF_002741885.1_ASM274188v1,NA,laboratory strain,Human-impacted
GCF_009912375.1_ASM991237v1,Homo sapiens,NA,Humans
GCF_001922205.1_ASM192220v1,Homo sapiens,BAL,Humans
GCF_000835235.1_ASM83523v1,NA,Insect larvae,Animals
GCF_000024845.1_ASM2484v1,NA,NA,NA
GCF_002105715.1_ASM210571v1,NA,wiener sausage,Food
GCF_012931645.1_ASM1293164v1,Homo sapiens,sputum,Humans
GCF_002202135.1_ASM220213v1,NA,food,Food
GCF_001444715.2_ASM144471v2,NA,isolate obtained from ATCC:7955 NCA,NA
GCF_009857095.1_ASM985709v1,rice,NA,Agriculture
GCF_001675245.1_ASM167524v1,Homo sapiens,blood sample,Humans
GCF_002243685.1_ASM224368v1,NA,Tissue; animal,Animals
GCF_002155245.1_ASM215524v1,NA,healthy tomato plant,Agriculture
GCF_013403505.1_ASM1340350v1,Homo sapiens,sputum,Humans
GCF_002078895.1_ASM207889v1,NA,Dairy fermentation,Food
GCF_011066505.1_ASM1106650v1,Homo sapiens,blood,Humans
GCF_000020385.1_ASM2038v1,NA,NA,NA
GCF_002368015.1_ASM236801v1,NA,NA,NA
GCF_003516005.1_ASM351600v1,Homo sapiens,blood,Humans
GCF_004797155.2_ASM479715v2,NA,NA,NA
GCF_002209245.2_ASM220924v2,Environment,UCC strain,NA
GCF_002214325.1_ASM221432v1,NA,petroleum hydrocarbon contaminated sediment,Human-impacted
GCF_002240375.2_ASM224037v2,Chicken,NA,Livestock
GCF_001267515.1_ASM126751v1,ginger,NA,Agriculture
GCF_000986925.1_CBOT001-SEQ-1-ASM-1,crab,river,Animals
GCF_002149105.1_ASM214910v1,Syngnathus typhle,Kiel Fjord,Animals
GCF_000148605.1_ASM14860v1,NA,NA,NA
GCF_001692595.1_ASM169259v1,NA,Chicken feces,Livestock
GCF_008802935.1_ASM880293v1,Homo sapiens,oral cavity,Humans
GCF_003717535.1_ASM371753v1,NA,NA,NA
GCF_009708195.1_ASM970819v1,NA,Surface of a polyethylene microplastic particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree C,Human-impacted
GCF_001456295.1_ASM145629v1,Plum,NA,Agriculture
GCF_001663715.1_ASM166371v1,NA,brewery environment,Human-impacted
GCF_009363375.1_ASM936337v1,NA,Surface of a polyethylene microplastic particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree C,Human-impacted
GCF_000963835.1_ASM96383v1,Persea americana,avocado roots,Agriculture
GCF_001534725.1_ASM153472v1,Salmo salar,liver,Animals
GCF_000022805.1_ASM2280v1,NA,NA,NA
GCF_000828015.1_ASM82801v1,NA,NA,NA
GCF_001874125.1_ASM187412v1,NA,pit mud,Sediment
GCF_900380265.1_SeCistrobi3249_v1.0,Cinara strobi,host's whole body,Animals
GCF_003203675.1_ASM320367v1,NA,NA,NA
GCF_002197025.1_ASM219702v1,Medicago sativa,NA,Agriculture
GCF_007292115.1_ASM729211v1,Homo sapiens,human-fecal,Humans
GCF_001713395.1_ASM171339v1,NA,Algal phycosphere,Plants
GCF_002738155.1_ASM273815v1,Homo sapiens,urine,Humans
GCF_009892265.1_ASM989226v1,Homo sapiens,Peritoneal dialysis liquid,Humans
GCF_000024625.1_ASM2462v1,NA,NA,NA
GCF_003204175.1_ASM320417v1,NA,NA,NA
GCF_001989875.1_ASM198987v1,NA,NA,NA
GCF_012053145.1_ASM1205314v1,Homo sapiens,Diarrheal patient,Humans
GCF_013375895.1_ASM1337589v1,Homo sapiens,endotracheal tube (ETT) or tracheostomy tube,Humans
GCF_900239935.1_PCAR91_V1,NA,NA,NA
GCF_005537135.1_ASM553713v1,Homo sapiens,NA,Humans
GCF_002205495.2_ASM220549v2,NA,glacier sediment,Sediment
GCF_000734895.2_ASM73489v2,NA,water,Freshwater
GCF_003665295.1_ASM366529v1,NA,Natto,Food
GCF_003815995.1_ASM381599v1,fish,blood,Animals
GCF_002000785.1_ASM200078v1,Homo sapiens,Nose,Humans
GCF_013331815.1_ASM1333181v1,NA,NA,NA
GCF_000160735.1_ASM16073v1,Ixodes scapularis,NA,Animals
GCF_003855295.1_ASM385529v1,Homo sapiens,urethra,Humans
GCF_009913035.1_ASM991303v1,Homo sapiens,NA,Humans
GCF_000091785.1_ASM9178v1,NA,NA,NA
GCF_001655375.1_ASM165537v1,Homo sapiens,Patient sample,Humans
GCF_011040495.1_ASM1104049v1,NA,Seawater recirculating aquaculture system biofilter,Human-impacted
GCF_005280435.1_ASM528043v1,Homo sapiens,blood,Humans
GCF_000714635.1_ASM71463v1,Nezara viridula (Cotton Pathogen Vector; southern green stink bug),NA,Animals
GCF_003020825.1_ASM302082v1,Homo sapiens,tracheal secretion isolated from an uncertain age woman,Humans
GCF_008121475.1_ASM812147v1,Homo sapiens,urine,Humans
GCF_002140055.1_ASM214005v1,Penaeus vannamei,NA,Animals
GCF_000444875.1_ASM44487v1,NA,NA,NA
GCF_008705155.1_ASM870515v1,NA,food,Food
GCF_000281535.2_ASM28153v2,Homo sapiens,groin,Humans
GCF_001718415.1_ASM171841v1,NA,soil,Soil
GCF_000272835.4_ASM27283v4,Equus ferus caballus,ground beef,Food
GCF_008931405.1_ASM893140v1,Homo sapiens,clinical sample,Humans
GCF_003288255.1_ASM328825v1,Bos taurus,NA,Livestock
GCF_011604525.1_ASM1160452v1,Trifolium pratense,Clover nodules,Plants
GCF_005518075.1_ASM551807v1,NA,mycoplasma culture contaminant,Human-impacted
GCF_000498655.1_ASM49865v1,NA,NA,NA
GCF_003999465.1_ASM399946v1,Deinagkistrodon acutus,diarrheal snake,Animals
GCF_001636255.1_ASM163625v1,Homo sapiens,Urine,Humans
GCF_009738085.1_ASM973808v1,Homo sapiens,feces,Humans
GCF_009709235.1_ASM970923v1,Oncorhynchus mykiss,NA,Animals
GCF_001720945.1_ASM172094v1,Homo sapiens,human blood,Humans
GCF_013167775.1_ASM1316777v1,NA,beef,Food
GCF_002572735.1_ASM257273v1,Homo sapiens,prostatic tissue,Humans
GCF_002370375.1_ASM237037v1,NA,microbial mat material,Terrestrial
GCF_002356675.1_ASM235667v1,Homo sapiens,blood,Humans
GCF_013167315.1_ASM1316731v1,cattle,cattle feces,Livestock
GCF_003515245.1_ASM351524v1,Solanum tuberosum,Potato bacterial wilt,Agriculture
GCF_002893965.1_ASM289396v1,NA,soil,Soil
GCF_010365385.1_ASM1036538v1,NA,environment,NA
GCF_002218245.1_ASM221824v1,Cowpea,NA,Agriculture
GCF_001186155.3_ASM118615v3,NA,soil,Soil
GCF_006438655.1_ASM643865v1,potato,plant,Agriculture
GCF_013341095.1_ASM1334109v1,NA,NA,NA
GCF_001675125.1_ASM167512v1,Homo sapiens,NA,Humans
GCF_004118955.1_ASM411895v1,NA,blood,Humans
GCF_002944995.1_ASM294499v1,Homo sapiens,Peripheral blood,Humans
GCF_002752655.1_ASM275265v1,NA,soil,Soil
GCF_002903305.1_ASM290330v1,NA,NA,NA
GCF_003325495.1_ASM332549v1,NA,tidal marsh,Sediment
GCF_003966795.1_ASM396679v1,Homo sapiens,NA,Humans
GCF_001675145.1_ASM167514v1,Homo sapiens,NA,Humans
GCF_012975085.1_ASM1297508v1,Homo sapiens,tissue,Humans
GCF_003614435.1_ASM361443v1,Homo sapiens,sputum sample,Humans
GCF_008000895.1_ASM800089v1,Wheat,leaves,Agriculture
GCF_011106775.1_ASM1110677v1,Homo sapiens,urine,Humans
GCF_003966675.1_ASM396667v1,Lemna minor,NA,Plants
GCF_008807115.1_ASM880711v1,NA,Anaerobic digestion reactor,Human-impacted
GCF_008949495.1_ASM894949v1,Homo sapiens,blood,Humans
GCF_005083845.1_ASM508384v1,Aphis helianthi,air,Animals
GCF_001611115.1_ASM161111v1,NA,brewing yeast sample,Human-impacted
GCF_009728775.1_ASM972877v1,Homo sapiens,83-year-old man,Humans
GCF_004120155.1_ASM412015v1,Homo sapiens,incision secretion,Humans
GCF_009730135.1_ASM973013v1,Homo sapiens,clinical isolate,Humans
GCF_000442435.1_ASM44243v1,Mimosa affinis,NA,Plants
GCF_006365335.1_ASM636533v1,NIST Mixed Microbial RM strain,ATCC Isolate,Humans
GCF_003990685.1_ASM399068v1,NA,NA,NA
GCF_001302645.1_ASM130264v1,NA,faecal sample,Humans
GCF_003667925.1_ASM366792v1,NA,NA,NA
GCF_000214845.1_ASM21484v1,NA,NA,NA
GCF_000278685.1_AcbauOIFC189v1.0,Homo sapiens,NA,Humans
GCF_009268105.1_ASM926810v1,Saccharum officinarum,leaves,Agriculture
GCF_013341055.1_ASM1334105v1,NA,NA,NA
GCF_009730475.1_ASM973047v1,NA,NA,NA
GCF_900250025.1_CBM2637,NA,NA,NA
GCF_000967325.1_ASM96732v1,NA,NA,NA
GCF_001606115.1_ASM160611v1,Homo sapiens,Nasal,Humans
GCF_004119635.1_ASM411963v1,NA,food,Food
GCF_005517455.1_ASM551745v1,NA,cattle slurry,Livestock
GCF_001690005.1_ASM169000v1,Homo sapiens,human,Humans
GCF_002215135.1_ASM221513v1,Anguilla anguilla,NA,Animals
GCF_000155675.2_ASM15567v2,NA,NA,NA
GCF_011058615.1_ASM1105861v1,Homo sapiens,Bronchial lavage,Humans
GCF_002250945.2_ASM225094v2,NA,Mashed potatoes,Food
GCF_000971765.1_ASM97176v1,Halyomorpha halys,distal midgut region V4,Animals
GCF_001721065.1_ASM172106v1,Homo sapiens,human blood,Humans
GCF_012935005.1_ASM1293500v1,Homo sapiens,sputum,Humans
GCF_000016125.1_ASM1612v1,NA,NA,NA
GCF_009191525.1_ASM919152v1,NA,the respiratory tract of a pig with swine respiratory disease,Livestock
GCF_002234495.1_ASM223449v1,Skeletonema marinoi strain ST54,Top-layer sediments,Sediment
GCF_003076335.1_ASM307633v1,Medicago truncatula,NA,Plants
GCF_009789675.1_ASM978967v1,NA,forest soil,Soil
GCF_003204095.1_ASM320409v1,NA,NA,NA
GCF_005280355.1_ASM528035v1,Homo sapiens,blood,Humans
GCF_003122445.1_ASM312244v1,Acyrthosiphon pisum,NA,Animals
GCF_005890095.1_ASM589009v1,Homo sapiens,NA,Humans
GCF_000014925.1_ASM1492v1,NA,NA,NA
